invoice_no,invoice_date,vendor_id,vendor_name,vendor_gstin,place_of_supply,supply_type,reverse_charge,expense_code,expense_account,description,taxable_value,gst_rate,cgst,sgst,igst,invoice_total,tds_section,tds_rate,tds_amount,net_payable,msme
INV-202604-059,2026-04-02,VEND108,Lumina Stationers & Supplies,29ALQCK7119Z8Z5,Karnataka,Intra-state,No,6006,Office Supplies & Stationery,Office supplies - 2026-04,17100,18,1539,1539,0,20178,,0.0,0,20178,No
INV-202604-012,2026-04-03,VEND106,Meridian Facility Management Pvt Ltd,29FPDCR0579A9ZA,Karnataka,Intra-state,No,6005,Housekeeping & Security,Housekeeping/security - 2026-04,71100,18,6399,6399,0,83898,194C,2.0,1422,82476,No
INV-202604-021,2026-04-04,VEND102,Vertex Tech Solutions Pvt Ltd,07OZVCM7779E4ZR,Delhi,Inter-state,No,5100,Subcontracting Charges,Subcontracting - 2026-04,223900,18,0,0,40302,264202,194C,2.0,4478,259724,No
INV-202604-049,2026-04-04,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-035,2026-04-08,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-019,2026-04-09,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-04,79000,18,0,0,14220,93220,,0.0,0,93220,No
INV-202604-032,2026-04-11,VEND110,Pinnacle Media & Communications Pvt Ltd,33YBOCX1612Y9ZH,Tamil Nadu,Inter-state,No,6205,Advertising & Marketing,Advertising - 2026-04,229700,18,0,0,41346,271046,194C,2.0,4594,266452,No
INV-202604-047,2026-04-13,VEND109,Catalyst Engineering Services,32RCZCK6770S1ZP,Kerala,Inter-state,No,6004,Repairs & Maintenance - Equipment,Repairs - equipment - 2026-04,99200,18,0,0,17856,117056,194C,2.0,1984,115072,No
INV-202604-025,2026-04-14,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-04,55700,18,0,0,10026,65726,,0.0,0,65726,No
INV-202604-058,2026-04-14,VEND111,Apex Travels Pvt Ltd,32EFACJ8198P8ZB,Kerala,Inter-state,No,6200,Travelling - Domestic,Travel & hotel - 2026-04,64800,12,0,0,7776,72576,,0.0,0,72576,No
INV-202604-040,2026-04-15,VEND108,Lumina Stationers & Supplies,29ALQCK7119Z8Z5,Karnataka,Intra-state,No,6006,Office Supplies & Stationery,Office supplies - 2026-04,34000,18,3060,3060,0,40120,,0.0,0,40120,No
